0pp0;Name;GraveNo;Enclosure Type;LaborAssessment;Burial No;Extra skeletal remains?;Notes on burial;Assemblage?;AnimalRemains;Lithics;HMPottery;Storage;FineVessels;DrinkingCups;Jewellery;Weapons;SpecialFinds;Imports;Grave Rank symbols;StartDate;Enddate;Chronology rating;;;;;;;;;
1055;Gabrova mogila;23;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;;;N;;;;;;;;;;;0 - No symbols of status present;400;1400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1055;Gabrova mogila;24;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;;Grave assemblage from Grave #1 could not be attributed to specific burials;Y;;1 obsidian piece;1 bowl;1 amphora;;;;;ochre, 2 bone amulets, ;;0 - No symbols of status present;-3000;-2000;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1055;Gabrova mogila;24;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);2;;Grave assemblage from Grave #1 could not be attributed to specific burials;Y;;;;;;;;;ochre;;0 - No symbols of status present;-3000;-2000;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1055;Gabrova mogila;24;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);3;;Grave assemblage from Grave #1 could not be attributed to specific burials;Y;;;;;;;;;ochre;;0 - No symbols of status present;-3000;-2000;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1055;Gabrova mogila;24;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);4;;Grave assemblage from Grave #1 could not be attributed to specific burials;Y;;;;;;;;;ochre;;0 - No symbols of status present;-3000;-2000;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1055;Gabrova mogila;24;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);5;;Grave assemblage from Grave #1 could not be attributed to specific burials;Y;;;;;;;;;ochre;;0 - No symbols of status present;-3000;-2000;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1055;Gabrova mogila;24;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);6;;Grave assemblage from Grave #1 could not be attributed to specific burials;Y;;;;;;;;;ochre;;0 - No symbols of status present;-3000;-2000;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1055;Gabrova mogila;24;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);7;;Grave assemblage from Grave #1 could not be attributed to specific burials;Y;;;;;;;;;ochre;;0 - No symbols of status present;-3000;-2000;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1055;Gabrova mogila;25;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;;;N;;;;;;;;;ochre;;0 - No symbols of status present;-3000;-2000;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1055;Gabrova mogila;26;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;;No description;N;;;;;;;;;ochre;;0 - No symbols of status present;-3000;-2000;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1055;Gabrova mogila;27;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;;No description;N;;;;;;;;;ochre;;0 - No symbols of status present;-3000;-2000;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1055;Gabrova mogila;28;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;;;N;;;;;;;;;ochre;;0 - No symbols of status present;-3000;-2000;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1055;Gabrova mogila;28;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);2;;disturbs burial #1 Y;;;;;;;;1 bone pin;1 bronze dagger;ochre;;1 - One or two status symbols (ochre, personal jewellery);-3000;-2000;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1055;Gabrova mogila;29;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;;;N;;;;;;;;;ochre;;0 - No symbols of status present;-3000;-2000;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1055;Gabrova mogila;30;Pit with wooden construction;some elaboration (marks of a coffin, small stone circle, tiled or stone lined grave of RM period);1;Y - two infant skulls;Primary burial;Y;;several flint artefacts;;;;;1 bronze spiral;1 bronze axe;ochre;;2 - Several symbols of status across multiple classes of artefacts (e.g. elaborate enclosure, weapons, jewellery, or imported goods..);-3000;-2000;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1055;Gabrova mogila;30;Pit with wooden construction;some elaboration (marks of a coffin, small stone circle, tiled or stone lined grave of RM period);2;;Primary burial;Y;;;1 Askos;;;;;1 bronze dagger;ochre;;2 - Several symbols of status across multiple classes of artefacts (e.g. elaborate enclosure, weapons, jewellery, or imported goods..);-3000;-2000;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1055;Gabrova mogila;30;Pit with wooden construction;some elaboration (marks of a coffin, small stone circle, tiled or stone lined grave of RM period);3;;Primary burial;Y;;;1 Askos;;;;2 silver spirals;"1 bronze axe; 1 bronze dagger";ochre;;2 - Several symbols of status across multiple classes of artefacts (e.g. elaborate enclosure, weapons, jewellery, or imported goods..);-3000;-2000;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1055;Gabrova mogila;30;Pit with wooden construction;some elaboration (marks of a coffin, small stone circle, tiled or stone lined grave of RM period);4;;Primary burial;Y;;;2 ceramic vessels;;;;;;;;1 - One or two status symbols (ochre, personal jewellery);-3000;-2000;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1057;Mound Pr7;1;Tomb of brick or stone;some elaboration (marks of a coffin, small stone circle, tiled or stone lined grave of RM period);1;;;Y;;;;;1 ceramic vessel;1 red slipped cup;;;;;1 - One or two status symbols (ochre, personal jewellery);200;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1057;Mound Pr7;2;Funeral pyre in a pit;some elaboration (marks of a coffin, small stone circle, tiled or stone lined grave of RM period);1;;;Y;;;2 HM vesels;;2 plates;1 cup;;;;;1 - One or two status symbols (ochre, personal jewellery);200;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1058;Petkova mogila;1;stone platform;some elaboration (marks of a coffin, small stone circle, tiled or stone lined grave of RM period);1;;the assemblage was found outside the grave construction in a pithos;Y;;;"fragments of ""Tsepina"" style pottery";1 pithos;1 bowl, 2 jug, 1 ceramic unguentarium;1 cup;;;1 bronze coin - Cassander;1 attic lacrimarium;1 - One or two status symbols (ochre, personal jewellery);-300;-200;3 - a number of burial aspects consulted and crossreferenced to formulate a date;;;;;;;;;
1058;Petkova mogila;1;stone platform;some elaboration (marks of a coffin, small stone circle, tiled or stone lined grave of RM period);2;;the assemblage was found outside the grave construction in a pithos;Y;;;;;;;;;;;1 - One or two status symbols (ochre, personal jewellery);-300;-200;3 - a number of burial aspects consulted and crossreferenced to formulate a date;;;;;;;;;
1058;Petkova mogila;1;stone platform;some elaboration (marks of a coffin, small stone circle, tiled or stone lined grave of RM period);3;;the assemblage was found outside the grave construction in a pithos;Y;;;;;;;;;;;1 - One or two status symbols (ochre, personal jewellery);-300;-200;3 - a number of burial aspects consulted and crossreferenced to formulate a date;;;;;;;;;
1059;Mound 1;1;Urn;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;;;Y;;;;;;;;;;lower part of black firnis kantharos;1 - One or two status symbols (ochre, personal jewellery);-300;-200;2 - specialist consulted on a single item;;;;;;;;;
1059;Mound 2;2;Simple pit;some elaboration (marks of a coffin, small stone circle, tiled or stone lined grave of RM period);1;;;Y;;;;;1 crater, 1 bowl;;"several(more tnah 2) silver earings, 10 bronze rings, 2 iron rings; 1 glass bead,2 bronze fibula";;;;2 - Several symbols of status across multiple classes of artefacts (e.g. elaborate enclosure, weapons, jewellery, or imported goods..);-300;-200;3 - a number of burial aspects consulted and crossreferenced to formulate a date;;;;;;;;;
1060;no name;1;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;;;N;;;;;;;;;;;0 - No symbols of status present;1500;1700;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1060;no name;2;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;;;N;;;;;;;;;;;0 - No symbols of status present;1500;1700;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1060;no name;3;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;;;N;;;;;;;;;;;0 - No symbols of status present;1500;1700;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1060;no name;4;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;;;N;;;;;;;;;;;0 - No symbols of status present;1500;1700;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1060;no name;5;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;;;N;;;;;;;;;;;0 - No symbols of status present;1500;1700;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1060;no name;6;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;;;N;;;;;;;;;;;0 - No symbols of status present;1500;1700;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1060;no name;7;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;;;N;;;;;;;;;;;0 - No symbols of status present;100;300;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1060;no name;8;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;;;N;;;;;;;;;;;0 - No symbols of status present;1500;1700;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1060;no name;9;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;;;N;;;;;;;;;;;0 - No symbols of status present;1500;1700;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1060;no name;10;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;;;N;;;;;;;;;;;0 - No symbols of status present;1500;1700;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1060;no name;11;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;;;N;;;;;;;;;;;0 - No symbols of status present;100;300;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1060;no name;12;pyre platform;some elaboration (marks of a coffin, small stone circle, tiled or stone lined grave of RM period);1;;;Y;;;;;Many fragments of ceramic vessels;;;;;;1 - One or two status symbols (ochre, personal jewellery);100;300;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1060;no name;13;pyre platform;some elaboration (marks of a coffin, small stone circle, tiled or stone lined grave of RM period);1;;;Y;;;;;Many fragments of ceramic vessels;;;;;;1 - One or two status symbols (ochre, personal jewellery);100;300;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1060;no name;14;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;Y;The amount of cremated remains points to several cremated individuals;Y;;;;;1 jug, 1 glass vessel;;;1 iron knife;1 bronze pixys;;1 - One or two status symbols (ochre, personal jewellery);100;300;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1060;no name;15;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;;;N;;;;;;;;;;;0 - No symbols of status present;1500;1700;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1060;no name;16;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;;;N;;;;;;;;;;;0 - No symbols of status present;1500;1700;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1061;Mound 1;1;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;;;Y;;;;;1 crater, 1 bowl;1 cup;;3 iron spearheads;1 bronze coin;;1 - One or two status symbols (ochre, personal jewellery);0;50;3 - a number of burial aspects consulted and crossreferenced to formulate a date;;;;;;;;;
1062;no name;1;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;;;Y;;;;;1 glass gutus;;;;;;0 - No symbols of status present;100;300;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1062;no name;2;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;;;N;;;;;only fragments;;;;;;0 - No symbols of status present;100;300;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1062;no name;3;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;;;N;;;;;;;;;;;0 - No symbols of status present;100;300;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1062;no name;4;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;;;N;;;;;;;;;;;0 - No symbols of status present;1400;1800;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1062;no name;5;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;;;N;;;;;;;;;;;0 - No symbols of status present;1400;1800;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1064;Meralak mound;1;Funeral pyre in a pit;some elaboration (marks of a coffin, small stone circle, tiled or stone lined grave of RM period);1;;primary burial;Y;;;;;"3 jjugs, 3 glass unguentarii;  (?) other ceramic vessels";;"1 silver fibula; bronze belt applications; 1 key-ring, 1 bronze ring";1 iron knife;"1 golden wreath(burnt remains); 1 woode chest with bronze applications; 2 bronze coins - Marcus Avrelius; 2 bronze strigils; 1 bronze unguentarium; 1 iron chair; remains of a cloth";;2 - Several symbols of status across multiple classes of artefacts (e.g. elaborate enclosure, weapons, jewellery, or imported goods..);150;200;3 - a number of burial aspects consulted and crossreferenced to formulate a date;;;;;;;;;
1064;Meralak mound;2;Funeral pyre in a pit;some elaboration (marks of a coffin, small stone circle, tiled or stone lined grave of RM period);1;;primary burial;Y;;;;;1 bowl, 1 oil lamp;;"1 bronze pendant; 2 bone hair-pins; 1 iron pin; 1 bronze key-ring";1 iron knife;"remains of a wooden chest with bronze application; 1 bronze coin- Hadrian; 1 bronze application; remains of a cloth";;2 - Several symbols of status across multiple classes of artefacts (e.g. elaborate enclosure, weapons, jewellery, or imported goods..);150;200;3 - a number of burial aspects consulted and crossreferenced to formulate a date;;;;;;;;;
1064;Meralak mound;3;Funeral pyre in a pit;some elaboration (marks of a coffin, small stone circle, tiled or stone lined grave of RM period);1;;secondary burial;Y;;;;;"1 glass unguentarium; 4 incomplete vessel";1 cup;1 copper ring;;1 bronze coin;;1 - One or two status symbols (ochre, personal jewellery);200;250;3 - a number of burial aspects consulted and crossreferenced to formulate a date;;;;;;;;;
1064;Meralak mound;4;Funeral pyre in a pit;some elaboration (marks of a coffin, small stone circle, tiled or stone lined grave of RM period);1;;secondary burial;Y;;;;;2 glass vessels;;1 golden earing;;;;1 - One or two status symbols (ochre, personal jewellery);200;250;3 - a number of burial aspects consulted and crossreferenced to formulate a date;;;;;;;;;
1065;Mound 3;1;unclear stone structure;some elaboration (marks of a coffin, small stone circle, tiled or stone lined grave of RM period);1;;;Y;;;;;Many fragments of amphorae end wheel made vessels;;;;;fragments of red figure and black firnis vessels;not available;-400;-350;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1066;Mound 3;1;Funeral pyre in a pit;some elaboration (marks of a coffin, small stone circle, tiled or stone lined grave of RM period);1;;;Y;;;;;"1 oinochoe; 1 kernos; fragments of a glass vessel";2 cups;"2 golden earings, 1 silver necklase with lunula; 1 bronze bracelet; 1 bone hairpin; 1 string of glass beads"; ;"1 iron key; 7 bronze coins - 200 - 222 AD";;2 - Several symbols of status across multiple classes of artefacts (e.g. elaborate enclosure, weapons, jewellery, or imported goods..);220;240;3 - a number of burial aspects consulted and crossreferenced to formulate a date;;;;;;;;;
1066;Mound 3;2;Funeral pyre in a pit;some elaboration (marks of a coffin, small stone circle, tiled or stone lined grave of RM period);1;;;Y;Y;;;;1 bowl, 1 deformed glass vessel;;;;6 bronze coins 200-222 AD;;1 - One or two status symbols (ochre, personal jewellery);220;240;3 - a number of burial aspects consulted and crossreferenced to formulate a date;;;;;;;;;
1066;Mound 3;3;Cist grave;some elaboration (marks of a coffin, small stone circle, tiled or stone lined grave of RM period);1;;;Y;;;;;;;;;1 bronze coin;;0 - No symbols of status present;220;240;3 - a number of burial aspects consulted and crossreferenced to formulate a date;;;;;;;;;
1066;Mound 3;4;Funeral pyre in a pit;some elaboration (marks of a coffin, small stone circle, tiled or stone lined grave of RM period);1;;;Y;"2 glass vessels; 2 red slipped bowls;";;;;;;"1 golden ring with gem; 2 silver torques; 4 glass beads";;"14 applications and a chain from a wooden chest; 2 bronze bells; 22 bronze coins (200 -241 AD); 2 silver coins; 1 bronze exagium";;2 - Several symbols of status across multiple classes of artefacts (e.g. elaborate enclosure, weapons, jewellery, or imported goods..);240;?;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1066;Mound 3;5;Funeral pyre in a pit;some elaboration (marks of a coffin, small stone circle, tiled or stone lined grave of RM period);1;;primary burial;Y;;;;;1 bowl, 1 plate;;;;3 bronze coins 200-217 AD;;1 - One or two status symbols (ochre, personal jewellery);217;?;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1067;Mound 2;1;Funeral pyre in a pit;some elaboration (marks of a coffin, small stone circle, tiled or stone lined grave of RM period);1;;a looted pit with remains of horse carriage, probably associated with this grave was discovered in 2008;Y;;;;;(?) glass unguentarii;;"2 golden earings; 1 golden necklace";;"4 bronze vessels; bronze applications from a carriage;1 wooden chest; 3 pairs of shoes";;2 - Several symbols of status across multiple classes of artefacts (e.g. elaborate enclosure, weapons, jewellery, or imported goods..);150;200;3 - a number of burial aspects consulted and crossreferenced to formulate a date;;;;;;;;;
1067;Mound 2 ;2;Funeral pyre in a pit;some elaboration (marks of a coffin, small stone circle, tiled or stone lined grave of RM period);1;;secondary burial, disturbed by looters;Y - looted;;;;;1 stamnos;;;;a pit with the remains of two horses and a carriage(heavily distubed by looters), i s located next to the grave;;2 - Several symbols of status across multiple classes of artefacts (e.g. elaborate enclosure, weapons, jewellery, or imported goods..);150;225;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1067;Mound 2 ;3;Funeral pyre in a pit;some elaboration (marks of a coffin, small stone circle, tiled or stone lined grave of RM period);1;;secondary burial, disturbed by looters;Y - looted;;;;;;;;;a pit with the remains of two horses and a carriage(heavily distubed by looters), i s located next to the grave (second carriage, not the same as grave #1);;2 - Several symbols of status across multiple classes of artefacts (e.g. elaborate enclosure, weapons, jewellery, or imported goods..);150;225;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1068;Mound 1;1;Simple pit;some elaboration (marks of a coffin, small stone circle, tiled or stone lined grave of RM period);1;Y;Primary burial;N;;;;;;;;;ochre;;0 - No symbols of status present;-3000;-2000;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1068;Mound 1;1;Simple pit;some elaboration (marks of a coffin, small stone circle, tiled or stone lined grave of RM period);2;Y;;N;;;;;;;;;ochre;;0 - No symbols of status present;-3000;-2000;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1068;Mound 1;1;Simple pit;some elaboration (marks of a coffin, small stone circle, tiled or stone lined grave of RM period);3;Y;;N;;;;;;;;;ochre;;0 - No symbols of status present;-3000;-2000;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1068;Mound 1;2;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;;;N;;;;;;;;;ochre;;0 - No symbols of status present;-3000;-2000;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1068;Mound 1;3;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;;;Y;;;1 jug;;;;2 silver pendant;;ochre;;1 - One or two status symbols (ochre, personal jewellery);-3000;-2000;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1068;Mound 1;4;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;;;?;;;;;;;;;;;0 - No symbols of status present;-3000;-2000;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1068;Mound 1;5;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;;;?;;;;;;;;;;;0 - No symbols of status present;-3000;-2000;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1068;Mound 1;6;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;;;?;;;;;;;;;;;0 - No symbols of status present;-3000;-2000;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1068;Mound 1;7;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;;;?;;;;;;;;;;;0 - No symbols of status present;-3000;-2000;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1068;Mound 1;8;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;;;?;;;;;;;;;;;0 - No symbols of status present;-3000;-2000;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1068;Mound 1;9;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;;;?;;;;;;;;;;;0 - No symbols of status present;-3000;-2000;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1068;Mound 1;10;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;;;?;;;;;;;;;;;0 - No symbols of status present;-3000;-2000;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1068;Mound 1;11;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;;;?;;;;;;;;;;;0 - No symbols of status present;-3000;-2000;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1068;Mound 1;12;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;;;?;;;;;;;;;;;0 - No symbols of status present;-3000;-2000;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1068;Mound 1;13;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;;;?;;;;;;;;;;;0 - No symbols of status present;-3000;-2000;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1068;Mound 1;14;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;;;?;;;;;;;;;;;0 - No symbols of status present;-3000;-2000;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1068;Mound 1;15;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;;;?;;;;;;;;;;;0 - No symbols of status present;-1600;-1100;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1068;Mound 1;16;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;;;?;;;;;;;;;;;0 - No symbols of status present;-1600;-1100;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1068;Mound 1;17;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;;;?;;;;;;;;;;;0 - No symbols of status present;-1600;-1100;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1068;Mound 1;18;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;;;?;;;;;;;;;;;0 - No symbols of status present;1000;1400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1069;Mound 3;1;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;;;Y;;;;;;;1 glass bead, 2 small bronze plates;;;;0 - No symbols of status present;100;300;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1069;Mound 3;2;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;;;Y;;;2 ceramic vessels;;;;;;;;1 - One or two status symbols (ochre, personal jewellery);-3000;-2000;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1069;Mound 3;2;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);2;;;N;;;;;;;;;;;0 - No symbols of status present;-3000;-2000;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1069;Mound 3;2;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);3;;;N;;;;;;;;;;;0 - No symbols of status present;-3000;-2000;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1070;Malkata momina mogila;1;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;;;N;;;;;;;;;ochre;;0 - No symbols of status present;-3000;-2000;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1070;Malkata momina mogila;2;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;;;Y;;;1 bowl;;;;;;ochre;;0 - No symbols of status present;-3000;-2000;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1070;Malkata momina mogila;3;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;;seconday burial;N;;;;;;;;;;;0 - No symbols of status present;1000;1400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1070;Malkata momina mogila;4;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;;;N;;;;;;;;;ochre;;0 - No symbols of status present;-3000;-2000;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1070;Malkata momina mogila;5;Simple pit;some elaboration (marks of a coffin, small stone circle, tiled or stone lined grave of RM period);1;;Primary burial;N;;;;;;;;;ochre;;0 - No symbols of status present;-3000;-2000;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1070;Malkata momina mogila;6;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;;;N;;;;;;;;;;;0 - No symbols of status present;-3000;-2000;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1070;Malkata momina mogila;7;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;;;N;;;;;;;;;;;0 - No symbols of status present;-3000;-2000;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1070;Malkata momina mogila;7;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);2;;;N;;;;;;;;;;;0 - No symbols of status present;-3000;-2000;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1070;Malkata momina mogila;7;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);3;;;N;;;;;;;;;;;0 - No symbols of status present;-3000;-2000;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1070;Malkata momina mogila;7;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);4;;;N;;;;;;;;;;;0 - No symbols of status present;-3000;-2000;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1070;Malkata momina mogila;8;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;;;N;;;;;;;;;;;0 - No symbols of status present;-3000;-2000;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1071;Mound 2;1;stone platform;some elaboration (marks of a coffin, small stone circle, tiled or stone lined grave of RM period);1;;;N;;;;;;;;;;;0 - No symbols of status present;-2400;-2000;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1071;Mound 2;1;stone platform;some elaboration (marks of a coffin, small stone circle, tiled or stone lined grave of RM period);2;;;N;;;;;;;;;;;0 - No symbols of status present;-2400;-2000;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1073;Mound 1;1;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;;;Y;;;;;;;2 bronze rings;;;;1 - One or two status symbols (ochre, personal jewellery);1300;1400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1073;Mound 1;2;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);2;;;Y;;;;;;;2 bronze earings;;;;1 - One or two status symbols (ochre, personal jewellery);1300;1400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1073;Mound 1;3;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);3;;;Y;;;;;;;;;1 silver coin;;1 - One or two status symbols (ochre, personal jewellery);1300;1400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
